Event,ifos,minimum-frequency H1,minimum-frequency L1,minimum-frequency V1,maximum-frequency,psd-notching minimum-frequency V1,psd-notching maximum-frequency V1,catalog
\text{GW190408\_181802},HLV,20,20,20,896,-,-,GWTC-2.1
\text{GW190413\_052954},HLV,20,20,20,896,-,-,GWTC-2.1
\textbf{GW190413\_134308}\text{$^{*\dagger \mathrm{L}}$},HLV,20,$\mathbf{35}$,20,448,-,-,GWTC-2.1
\text{GW190421\_213856},HL,20,20,-,448,-,-,GWTC-2.1
\text{GW190426\_190642},HLV,20,20,20,448,-,-,GWTC-2.1
\text{GW190503\_185404$^{* \mathrm{L}}$},HLV,20,20,20,896,-,-,GWTC-2.1
\text{GW190513\_205428$^{* \mathrm{L}}$},HLV,20,20,20,896,-,-,GWTC-2.1
\textbf{GW190514\_065416}\text{$^{*\dagger \mathrm{L}}$},HL,20,$\mathbf{50}$,-,448,-,-,GWTC-2.1
\text{GW190517\_055101},HLV,20,20,20,896,-,-,GWTC-2.1
\text{GW190519\_153544},HLV,20,20,20,448,-,-,GWTC-2.1
\text{GW190521\_074359},HL,20,20,-,224,-,-,GWTC-2.1
\text{GW190527\_092055},HL,20,20,-,896,-,-,GWTC-2.1
\text{GW190602\_175927},HLV,20,20,20,448,-,-,GWTC-2.1
\text{GW190620\_030421},LV,-,20,20,448,-,-,GWTC-2.1
\text{GW190630\_185205},LV,-,20,20,896,-,-,GWTC-2.1
\text{GW190701\_203306$^{* \mathrm{L}}$},HLV,20,20,20,448,-,-,GWTC-2.1
\text{GW190706\_222641},HLV,20,20,20,896,-,-,GWTC-2.1
\text{GW190719\_215514},HL,20,20,-,896,-,-,GWTC-2.1
\textbf{GW190727\_060333}\text{$^{\dagger \mathrm{L}}$},HLV,20,$\mathbf{50}$,20,896,-,-,GWTC-2.1
\text{GW190731\_140936},HL,20,20,-,896,-,-,GWTC-2.1
\text{GW190803\_022701},HLV,20,20,20,896,-,-,GWTC-2.1
\text{GW190828\_063405},HLV,20,20,20,896,-,-,GWTC-2.1
\text{GW190910\_112807},LV,-,20,20,448,-,-,GWTC-2.1
\text{GW190915\_235702},HLV,20,20,20,896,-,-,GWTC-2.1
\text{GW190916\_200658},HLV,20,20,20,896,-,-,GWTC-2.1
\text{GW190925\_232845},HV,20,-,20,1792,-,-,GWTC-2.1
\text{GW190926\_050336},HLV,20,20,20,896,-,-,GWTC-2.1
\text{GW190929\_012149},HLV,20,20,20,896,-,-,GWTC-2.1
\text{GW191109\_010717$^{\diamond \mathrm{HL}}$},HL,20,20,-,448,-,-,GWTC-3
\text{GW191127\_050227$^{\diamond \mathrm{H}}$},HLV,20,20,20,896,46,51,GWTC-3
\text{GW191204\_110529},HL,20,20,-,896,-,-,GWTC-3
\text{GW191215\_223052},HLV,20,20,20,896,46,51,GWTC-3
\text{GW191222\_033537},HL,20,20,-,448,-,-,GWTC-3
\text{GW191230\_180458},HLV,20,20,20,896,46,51,GWTC-3
\text{GW200112\_155838},LV,-,20,20,896,46,51,GWTC-3
\text{GW200128\_022011},HL,20,20,-,448,-,-,GWTC-3
\text{GW200129\_065458$^{\ddagger \mathrm{L}}$},HLV,20,20,20,896,46,51,GWTC-3
\text{GW200208\_130117},HLV,20,20,20,448,46,51,GWTC-3
\text{GW200208\_222617},HLV,20,20,20,1792,46,51,GWTC-3
\text{GW200209\_085452},HLV,20,20,20,896,46,51,GWTC-3
\text{GW200216\_220804},HLV,20,20,20,896,46,51,GWTC-3
\text{GW200219\_094415},HLV,20,20,20,896,46,51,GWTC-3
\text{GW200220\_061928},HLV,20,20,20,224,46,51,GWTC-3
\text{GW200220\_124850},HL,20,20,-,896,-,-,GWTC-3
\text{GW200224\_222234},HLV,20,20,20,448,46,51,GWTC-3
\text{GW200302\_015811},HV,20,-,20,896,46,51,GWTC-3
\text{GW200306\_093714},HL,20,20,-,896,-,-,GWTC-3
\text{GW200311\_115853},HLV,20,20,20,896,46,51,GWTC-3
